Date,Share price
8-10-22,1621.1999510000001,,,,,
8-11-22,1630,,,,,
8-12-22,1613.3000489999999,,,,,
8-16-22,1609,,,,,
8-17-22,1596.4499510000001,,,,,
8-18-22,1594.099976,,,,,
8-19-22,1585.3000489999999,,,,,
8-22-22,1586,,,,,
8-23-22,1548,,,,,
8-24-22,1535,,,,,
8-25-22,1548,,,,,
8-26-22,1535.150024,,,,,
8-29-22,1468.5500489999999,,,,,
8-30-22,1473.099976,,,,,
9-01-22,1460.0500489999999,,,,,
9-02-22,1478,,,,,
9-05-22,1451,,,,,
9-06-22,1461.3000489999999,,,,,
9-07-22,1440,,,,,
9-08-22,1475,,,,,
9-09-22,1488,,,,,
9-12-22,1525.8000489999999,,,,,
9-13-22,1551.900024,,,,,
9-14-22,1497,,,,,
9-15-22,1475,,,,,
9-16-22,1425,,,,,
9-19-22,1392,,,,,
9-20-22,1407.9499510000001,,,,,
9-21-22,1379.900024,,,,,
9-22-22,1366.349976,,,,,
9-23-22,1367.5,,,,,
9-26-22,1360,,,,,
9-27-22,1393.4499510000001,,,,,
9-28-22,1379,,,,,
9-29-22,1404.900024,,,,,
9-30-22,1388.9499510000001,,,,,
10-03-22,1412,,,,,
10-04-22,1419.6999510000001,,,,,
10-06-22,1445,,,,,
10-07-22,1446.349976,,,,,
10-10-22,1426.349976,,,,,
10-11-22,1462.650024,,,,,
10-12-22,1437,,,,,
10-13-22,1431,,,,,
10-14-22,1485,,,,,
10-17-22,1476.900024,,,,,
10-18-22,1510,,,,,
10-19-22,1504,,,,,
10-20-22,1475,,,,,
10-21-22,1500.3000489999999,,,,,
10-24-22,1518.5,,,,,
10-25-22,1528.099976,,,,,
10-27-22,1530.8000489999999,,,,,
10-28-22,1526,,,,,
10-31-22,1530.25,,,,,
11-01-22,1553.0500489999999,,,,,
11-02-22,1572,,,,,
11-03-22,1538.75,,,,,
11-04-22,1520.4499510000001,,,,,
11-07-22,1521.400024,,,,,
11-09-22,1529,,,,,
11-10-22,1485,,,,,
11-11-22,1546.650024,,,,,
11-14-22,1575.150024,,,,,
11-15-22,1577.849976,,,,,
11-16-22,1597.150024,,,,,
11-17-22,1597.1999510000001,,,,,
11-18-22,1591.6999510000001,,,,,
11-21-22,1582.099976,,,,,
11-22-22,1569,,,,,
11-23-22,1588.900024,,,,,
11-24-22,1589,,,,,
11-25-22,1631.400024,,,,,
11-28-22,1628,,,,,
11-29-22,1621.1999510000001,,,,,
